"Tabela 289 - Quantidade produzida e valor da produção na extração vegetal, por tipo de produto extrativo"
"Variável - Quantidade produzida na extração vegetal (Toneladas)"
"Unidade da Federação e Município","Ano x Tipo de produto extrativo"
"Unidade da Federação e Município","2014","2015","2016","2017","2018"
"Miranda do Norte (MA)","31","31","31","25","25"
"Mirinzal (MA)","0","0","0","0","0"
"Monção (MA)","598","503","432","419","454"
"Montes Altos (MA)","-","-","-","-","-"
"Morros (MA)","-","-","-","-","-"
"Nina Rodrigues (MA)","964","964","964","890","890"
"Nova Colinas (MA)","-","-","-","-","10"
"Nova Iorque (MA)","7","7","6","5","5"
"Nova Olinda do Maranhão (MA)","-","-","-","-","-"
"Olho d'Água das Cunhãs (MA)","975","955","780","655","557"
"Olinda Nova do Maranhão (MA)","62","55","36","35","37"
"Paço do Lumiar (MA)","-","-","-","-","-"
"Palmeirândia (MA)","435","391","352","285","237"
"Paraibano (MA)","12","11","10","8","9"
"Parnarama (MA)","246","160","168","126","107"
"Passagem Franca (MA)","44","33","32","32","35"
"Pastos Bons (MA)","12","11","9","8","9"
"Paulino Neves (MA)","-","-","-","-","-"
"Paulo Ramos (MA)","2300","2310","1878","1521","1500"
"Pedreiras (MA)","5306","4981","3988","3290","3076"
"Pedro do Rosário (MA)","94","80","92","75","61"
"Penalva (MA)","787","732","610","545","620"
"Peri Mirim (MA)","62","56","56","44","37"
"Peritoró (MA)","566","453","430","353","321"
"Pindaré-Mirim (MA)","326","267","229","218","201"
"Pinheiro (MA)","300","291","256","218","207"
"Pio XII (MA)","920","900","600","498","495"
"Pirapemas (MA)","958","958","958","781","781"
"Poção de Pedras (MA)","4378","3949","3199","2671","2524"
"Porto Franco (MA)","-","-","-","-","-"
"Porto Rico do Maranhão (MA)","-","-","-","-","-"
"Presidente Dutra (MA)","311","285","234","217","218"
"Presidente Juscelino (MA)","-","-","-","-","-"
"Presidente Médici (MA)","10","11","11","23","73"
"Presidente Sarney (MA)","167","153","137","133","108"
"Presidente Vargas (MA)","465","465","465","377","377"
"Primeira Cruz (MA)","-","-","-","-","-"
"Raposa (MA)","...","-","-","-","-"
"Riachão (MA)","-","-","-","-","3"
"Ribamar Fiquene (MA)","-","-","-","-","-"
"Rosário (MA)","66","62","59","9","8"
"Sambaíba (MA)","-","-","-","-","1"
"Santa Filomena do Maranhão (MA)","18","15","13","13","12"
"Santa Helena (MA)","56","51","48","47","38"
"Santa Inês (MA)","177","149","134","130","126"
"Santa Luzia (MA)","624","536","448","402","379"
"Santa Luzia do Paruá (MA)","-","-","-","-","5"
"Santa Quitéria do Maranhão (MA)","742","810","826","915","918"
"Santa Rita (MA)","12","12","12","6","6"
"Santana do Maranhão (MA)","-","-","-","-","-"
"Santo Amaro do Maranhão (MA)","-","-","-","-","-"
"Santo Antônio dos Lopes (MA)","1459","1368","1115","948","933"
"São Benedito do Rio Preto (MA)","286","243","210","180","150"
"São Bento (MA)","8","8","8","8","6"
"São Bernardo (MA)","31","31","32","33","35"
